Date,Time,"Virtual Memory Committed [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core VIDs (avg) [V]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","Core Clocks (avg) [MHz]","Core 0 Clock [MHz]","Core 1 Clock [MHz]","Core 2 Clock [MHz]","Core 3 Clock [MHz]","Bus Clock [MHz]","Uncore Clock [MHz]","Core Effective Clocks (avg) [MHz]","Core 0 Effective Clock [MHz]","Core 1 Effective Clock [MHz]","Core 2 Effective Clock [MHz]","Core 3 Effective Clock [MHz]","Average Effective Clock [MHz]","Core Usage (avg) [%]","Core 0 Usage [%]","Core 1 Usage [%]","Core 2 Usage [%]","Core 3 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","On-Demand Clock Modulation [%]","Core Utility (avg) [%]","Core 0 Utility [%]","Core 1 Utility [%]","Core 2 Utility [%]","Core 3 Utility [%]","Total CPU Utility [%]","Core Ratios (avg) [x]","Core 0 Ratio [x]","Core 1 Ratio [x]","Core 2 Ratio [x]","Core 3 Ratio [x]","Uncore Ratio [x]","Core Temperatures (avg) [°C]","Core 0 [°C]","Core 1 [°C]","Core 2 [°C]","Core 3 [°C]","Core Distance to TjMAX (avg) [°C]","Core 0 Distance to TjMAX [°C]","Core 1 Distance to TjMAX [°C]","Core 2 Distance to TjMAX [°C]","Core 3 Distance to TjMAX [°C]","CPU Package [°C]","Core Max [°C]","Core Thermal Throttling (avg) [Yes/No]","Core 0 Thermal Throttling [Yes/No]","Core 1 Thermal Throttling [Yes/No]","Core 2 Thermal Throttling [Yes/No]","Core 3 Thermal Throttling [Yes/No]","Core Critical Temperature (avg) [Yes/No]","Core 0 Critical Temperature [Yes/No]","Core 1 Critical Temperature [Yes/No]","Core 2 Critical Temperature [Yes/No]","Core 3 Critical Temperature [Yes/No]","Core Power Limit Exceeded (avg) [Yes/No]","Core 0 Power Limit Exceeded [Yes/No]","Core 1 Power Limit Exceeded [Yes/No]","Core 2 Power Limit Exceeded [Yes/No]","Core 3 Power Limit Exceeded [Yes/No]","Package/Ring Thermal Throttling [Yes/No]","Package/Ring Critical Temperature [Yes/No]","Package/Ring Power Limit Exceeded [Yes/No]","CPU IA Cores [°C]","CPU Graphics [°C]","CPU System Agent [°C]","CPU Camera Unit (ISP) [°C]","CPU Package Power [W]","IA Cores Power [W]","GT Cores Power [W]","PL2 Power Limit [W]","GPU Clock [MHz]","Imaging Unit (IMGU) Clock [MHz]","GPU D3D Usage [%]","GPU D3D Utilizations (avg) [%]","GPU Video Decode 0 Usage [%]","GPU Video Decode 1 Usage [%]","GPU Video Processing 0 Usage [%]","GPU Video Processing 1 Usage [%]","GPU D3D Memory Dynamic [MB]","Core C0 Residency (avg) [%]","Core 0 T0 C0 Residency [%]","Core 1 T0 C0 Residency [%]","Core 2 T0 C0 Residency [%]","Core 3 T0 C0 Residency [%]","Core C1 Residency (avg) [%]","Core 0 C1 Residency [%]","Core 1 C1 Residency [%]","Core 2 C1 Residency [%]","Core 3 C1 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Trcd [T]","Trp [T]","Tras [T]","Command Rate [T]","Drive Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []",
20.12.2022,9:48:20.296,3838,810,82.5,3338,606,84.6,21.1,1.205,1.205,1.205,1.205,1.205,2000.2,2000.2,2000.2,2000.2,2000.2,100.0,533.3,1190.2,1149.3,1191.2,1151.7,1268.5,1190.2,60.2,59.0,61.3,57.5,62.8,62.8,60.2,100.0,73.9,71.6,74.2,71.6,78.3,73.9,20,20,20,20,20,32,48,47,46,49,49,62,63,64,61,61,49,49,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,49,40,46,44,6.961,3.247,0.067,15.0,1950.0,550.0,1.8,0.0,0.0,0.0,0.0,0.0,184,61.3,58.7,62.4,59.0,65.1,38.7,41.3,37.6,41.0,34.9,1200.0,18.00,22,22,51,1,30,No,No,23892,23287,2.0,12.1,14.1,0.066,7.090,3091,709,0.0,0.0,0.0,0.000,0.000,0,0,0,0,0.000,0.000,0,0,0.000,0.000,59,1,0.909,0.113,0,
20.12.2022,9:48:22.384,3838,810,82.5,3284,661,83.2,31.0,1.205,1.205,1.205,1.205,1.205,2000.2,2000.2,2000.2,2000.2,2000.2,100.0,533.3,1995.1,1995.1,1995.1,1995.2,1995.2,1995.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,124.7,124.7,124.7,124.7,124.7,124.7,20,20,20,20,20,32,50,50,50,49,50,60,60,60,61,60,50,50,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,51,42,47,45,9.495,5.381,0.007,15.0,1950.0,550.0,0.2,0.0,0.0,0.0,0.0,0.0,184,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1200.0,18.00,22,22,51,1,30,No,No,23892,23287,1.6,58.0,59.6,0.027,35.779,3091,781,0.0,0.0,0.0,0.000,0.000,0,0,0,0,0.000,0.000,0,0,0.000,0.000,59,1,1.916,0.054,0,
20.12.2022,9:48:24.473,3834,815,82.4,3283,661,83.2,31.0,1.205,1.205,1.205,1.205,1.205,2000.2,2000.2,2000.2,2000.2,2000.2,100.0,533.3,1995.1,1995.1,1995.1,1995.1,1995.1,1995.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,124.7,124.7,124.8,124.8,124.7,124.7,20,20,20,20,20,32,51,50,50,52,51,59,60,60,58,59,52,52,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,51,44,47,45,9.525,5.377,0.005,15.0,1950.0,550.0,0.2,0.0,0.0,0.0,0.0,0.0,184,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1200.0,18.00,22,22,51,1,30,No,No,23892,23287,0.2,0.1,0.3,0.005,0.113,3091,781,0.0,0.0,0.0,0.000,0.000,0,0,0,0,0.000,0.000,0,0,0.000,0.000,59,1,0.888,0.053,0,
20.12.2022,9:48:26.551,3835,814,82.4,3283,661,83.2,31.0,1.205,1.205,1.205,1.205,1.205,2000.2,2000.2,2000.2,2000.2,2000.2,100.0,533.3,1995.2,1995.2,1995.2,1995.2,1995.2,1995.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,124.8,124.8,124.7,124.8,124.7,124.8,20,20,20,20,20,32,51,50,52,51,52,59,60,58,59,58,51,52,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,50,44,48,46,9.581,5.379,0.005,15.0,1950.0,550.0,0.2,0.0,0.0,0.0,0.0,0.0,184,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1200.0,18.00,22,22,51,1,30,No,No,23892,23287,0.4,0.1,0.6,0.193,0.110,3091,781,0.0,0.0,0.0,0.000,0.000,0,0,0,0,0.000,0.000,0,0,0.000,0.000,59,1,0.940,0.137,0,
20.12.2022,9:48:28.670,3834,814,82.4,3283,661,83.2,31.0,1.205,1.205,1.205,1.205,1.205,2000.2,2000.2,2000.2,2000.2,2000.2,100.0,533.3,1995.1,1995.1,1995.1,1995.1,1995.1,1995.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,124.8,124.8,124.8,124.7,124.8,124.8,20,20,20,20,20,32,52,52,52,52,51,58,58,58,58,59,52,52,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,52,44,49,47,9.616,5.381,0.004,15.0,1950.0,550.0,0.2,0.0,0.0,0.0,0.0,0.0,184,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1200.0,18.00,22,22,51,1,30,No,No,23892,23287,0.0,0.0,0.0,0.000,0.001,3091,781,0.0,0.0,0.0,0.000,0.000,0,0,0,0,0.000,0.000,0,0,0.000,0.000,59,1,0.773,0.052,0,
20.12.2022,9:48:30.769,3834,814,82.4,3283,661,83.2,31.0,1.205,1.205,1.205,1.205,1.205,2000.2,2000.2,2000.2,2000.2,2000.2,100.0,533.3,1995.1,1995.1,1995.1,1995.1,1995.1,1995.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,124.7,124.7,124.7,124.7,124.8,124.7,20,20,20,20,20,32,52,52,52,52,52,58,58,58,58,58,52,52,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,51,44,49,47,9.609,5.383,0.004,15.0,1950.0,550.0,0.2,0.0,0.0,0.0,0.0,0.0,184,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1200.0,18.00,22,22,51,1,30,No,No,23892,23287,0.0,0.0,0.0,0.000,0.021,3091,781,0.0,0.0,0.0,0.000,0.000,0,0,0,0,0.000,0.000,0,0,0.000,0.000,59,1,0.755,0.106,0,
20.12.2022,9:48:32.877,3834,815,82.4,3283,661,83.2,31.0,1.205,1.205,1.205,1.205,1.205,2000.2,2000.2,2000.2,2000.2,2000.2,100.0,533.3,1995.1,1995.1,1995.1,1995.1,1995.1,1995.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,124.7,124.7,124.7,124.7,124.7,124.7,20,20,20,20,20,32,51,51,52,51,51,59,59,58,59,59,52,52,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,52,44,49,47,9.617,5.380,0.003,15.0,1950.0,550.0,0.2,0.0,0.0,0.0,0.0,0.0,184,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1200.0,18.00,22,22,51,1,30,No,No,23892,23287,0.0,0.0,0.0,0.000,0.000,3091,781,0.0,0.0,0.0,0.000,0.000,0,0,0,0,0.000,0.000,0,0,0.000,0.000,59,1,0.741,0.053,0,
20.12.2022,9:48:34.996,3832,816,82.4,3283,661,83.2,31.0,1.205,1.205,1.205,1.205,1.205,2000.2,2000.2,2000.2,2000.2,2000.2,100.0,533.3,1995.2,1995.2,1995.2,1995.2,1995.2,1995.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,124.7,124.7,124.7,124.7,124.8,124.7,20,20,20,20,20,32,52,52,52,52,52,58,58,58,58,58,52,52,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,52,45,49,47,9.621,5.383,0.005,15.0,1950.0,550.0,0.2,0.0,0.0,0.0,0.0,0.0,184,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1200.0,18.00,22,22,51,1,30,No,No,23892,23287,0.0,0.0,0.0,0.001,0.001,3091,781,0.0,0.0,0.0,0.000,0.000,0,0,0,0,0.000,0.000,0,0,0.000,0.000,59,1,0.779,0.000,0,
20.12.2022,9:48:37.114,3829,819,82.3,3273,671,82.9,31.0,1.205,1.205,1.205,1.205,1.205,2000.2,2000.2,2000.2,2000.2,2000.2,100.0,533.3,1995.1,1995.1,1995.1,1995.2,1995.2,1995.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,124.7,124.7,124.7,124.7,124.7,124.7,20,20,20,20,20,32,52,52,52,52,52,58,58,58,58,58,52,52,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,52,44,49,48,9.617,5.380,0.004,15.0,1950.0,550.0,0.2,0.0,0.0,0.0,0.0,0.0,184,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1200.0,18.00,22,22,51,1,30,No,No,23892,23287,0.0,0.0,0.0,0.000,0.000,3091,781,0.0,0.0,0.0,0.000,0.000,0,0,0,0,0.000,0.000,0,0,0.000,0.000,59,1,1.186,0.000,0,
20.12.2022,9:48:39.183,3833,815,82.4,3273,671,82.9,31.0,1.205,1.205,1.205,1.205,1.205,2000.2,2000.2,2000.2,2000.2,2000.2,100.0,533.3,1995.0,1995.0,1995.0,1995.0,1995.0,1995.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,124.7,124.8,124.7,124.7,124.7,124.7,20,20,20,20,20,32,52,52,52,52,52,58,58,58,58,58,52,52,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,52,45,49,47,9.628,5.394,0.009,15.0,1950.0,550.0,0.2,0.0,0.0,0.0,0.0,0.0,187,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1200.0,18.00,22,22,51,1,30,No,No,23892,23287,0.3,0.0,0.3,0.097,0.019,3091,781,0.0,0.0,0.0,0.000,0.000,0,0,0,0,0.000,0.000,0,0,0.000,0.000,59,1,7.927,0.000,0,
