Date,Time,"Virtual Memory Committed [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core VIDs (avg) [V]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","Core Clocks (avg) [MHz]","Core 0 Clock [MHz]","Core 1 Clock [MHz]","Core 2 Clock [MHz]","Core 3 Clock [MHz]","Bus Clock [MHz]","Uncore Clock [MHz]","Core Effective Clocks (avg) [MHz]","Core 0 Effective Clock [MHz]","Core 1 Effective Clock [MHz]","Core 2 Effective Clock [MHz]","Core 3 Effective Clock [MHz]","Average Effective Clock [MHz]","Core Usage (avg) [%]","Core 0 Usage [%]","Core 1 Usage [%]","Core 2 Usage [%]","Core 3 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","On-Demand Clock Modulation [%]","Core Utility (avg) [%]","Core 0 Utility [%]","Core 1 Utility [%]","Core 2 Utility [%]","Core 3 Utility [%]","Total CPU Utility [%]","Core Ratios (avg) [x]","Core 0 Ratio [x]","Core 1 Ratio [x]","Core 2 Ratio [x]","Core 3 Ratio [x]","Uncore Ratio [x]","Core Temperatures (avg) [°C]","Core 0 [°C]","Core 1 [°C]","Core 2 [°C]","Core 3 [°C]","Core Distance to TjMAX (avg) [°C]","Core 0 Distance to TjMAX [°C]","Core 1 Distance to TjMAX [°C]","Core 2 Distance to TjMAX [°C]","Core 3 Distance to TjMAX [°C]","CPU Package [°C]","Core Max [°C]","Core Thermal Throttling (avg) [Yes/No]","Core 0 Thermal Throttling [Yes/No]","Core 1 Thermal Throttling [Yes/No]","Core 2 Thermal Throttling [Yes/No]","Core 3 Thermal Throttling [Yes/No]","Core Critical Temperature (avg) [Yes/No]","Core 0 Critical Temperature [Yes/No]","Core 1 Critical Temperature [Yes/No]","Core 2 Critical Temperature [Yes/No]","Core 3 Critical Temperature [Yes/No]","Core Power Limit Exceeded (avg) [Yes/No]","Core 0 Power Limit Exceeded [Yes/No]","Core 1 Power Limit Exceeded [Yes/No]","Core 2 Power Limit Exceeded [Yes/No]","Core 3 Power Limit Exceeded [Yes/No]","Package/Ring Thermal Throttling [Yes/No]","Package/Ring Critical Temperature [Yes/No]","Package/Ring Power Limit Exceeded [Yes/No]","CPU IA Cores [°C]","CPU Graphics [°C]","CPU System Agent [°C]","CPU Camera Unit (ISP) [°C]","iGPU VID [V]","CPU Package Power [W]","IA Cores Power [W]","GT Cores Power [W]","PL1 Power Limit [W]","PL2 Power Limit [W]","GPU Clock [MHz]","Imaging Unit (IMGU) Clock [MHz]","GPU D3D Usage [%]","GPU D3D Utilizations (avg) [%]","GPU Video Decode 0 Usage [%]","GPU Video Decode 1 Usage [%]","GPU Video Processing 0 Usage [%]","GPU Video Processing 1 Usage [%]","GPU D3D Memory Dynamic [MB]","Package C2 Residency [%]","Core C0 Residency (avg) [%]","Core 0 T0 C0 Residency [%]","Core 1 T0 C0 Residency [%]","Core 2 T0 C0 Residency [%]","Core 3 T0 C0 Residency [%]","Core C1 Residency (avg) [%]","Core 0 C1 Residency [%]","Core 1 C1 Residency [%]","Core 2 C1 Residency [%]","Core 3 C1 Residency [%]","Core C6 Residency (avg) [%]","Core 0 C6 Residency [%]","Core 1 C6 Residency [%]","Core 2 C6 Residency [%]","Core 3 C6 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Command Rate [T]","Drive Temperature [°C]","Drive Remaining Life [%]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []",
31.8.2022,11:56:49.558,1909,7386,20.5,2125,5890,26.5,0.0,1.082,1.080,1.080,1.085,1.085,800.0,800.0,800.0,800.0,800.0,100.0,533.3,40.9,26.3,46.6,16.1,74.6,40.9,1.7,0.0,3.0,0.0,3.8,3.8,1.7,100.0,2.4,1.4,2.7,0.9,4.6,2.4,8,8,8,8,8,32,54,55,55,53,53,56,55,55,57,57,56,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,55,54,56,54,1.047,1.983,0.105,4.925,12.0,15.0,500.0,550.0,0.3,0.0,0.0,0.0,0.0,0.0,141,0.0,3.3,2.8,4.8,1.5,4.3,0.0,0.0,0.0,0.0,0.0,96.6,97.2,95.1,98.5,95.6,800.0,12.00,11,11,11,28,1,49,100.0,No,No,52,32,0.0,0.1,0.1,0.000,0.041,1874,764,0.0,0.0,0.0,0.000,0.000,82,2,10.678,0.000,82,2,10.678,0.000,0,0,0.000,0.000,0,
31.8.2022,11:56:51.602,1913,7381,20.5,2130,5885,26.5,0.0,1.082,1.080,1.080,1.085,1.085,800.0,800.0,800.0,800.0,800.0,100.0,533.3,132.0,104.8,119.5,92.3,211.4,132.0,7.2,6.9,6.1,4.6,11.3,11.3,7.2,100.0,7.9,6.0,7.2,5.6,12.9,7.9,8,8,8,8,8,32,54,54,54,53,53,57,56,56,57,57,56,54,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,54,54,56,54,1.055,2.200,0.341,5.109,12.0,15.0,500.0,550.0,3.6,0.0,0.0,0.0,0.0,0.0,142,0.9,9.3,7.5,9.4,6.7,13.5,0.6,0.1,0.1,0.0,2.1,89.9,92.2,90.2,93.0,84.1,800.0,12.00,11,11,11,28,1,49,100.0,No,No,52,32,0.1,0.0,0.1,0.010,0.000,1874,764,0.0,0.0,0.0,0.000,0.000,82,2,5.091,0.000,82,2,5.091,0.000,0,0,0.000,0.000,0,
31.8.2022,11:56:53.635,1922,7373,20.6,2132,5883,26.6,0.0,1.205,1.205,1.205,1.205,1.205,1975.0,1900.0,2000.0,2000.0,2000.0,100.0,533.3,140.3,142.7,111.8,122.0,184.8,140.3,8.9,9.9,5.3,6.1,14.5,14.5,8.9,100.0,8.5,8.8,6.6,7.3,11.3,8.5,20,19,20,20,20,32,55,55,55,55,55,55,55,55,55,55,56,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,55,54,56,54,1.375,2.169,0.377,5.144,12.0,15.0,500.0,550.0,0.4,0.0,0.0,0.0,0.0,0.0,142,0.0,10.1,9.8,9.7,8.4,12.6,0.6,0.0,0.1,0.0,2.2,89.0,89.7,89.9,91.3,84.9,800.0,12.00,11,11,11,28,1,49,100.0,No,No,52,32,0.0,0.1,0.1,0.000,0.046,1874,764,0.0,0.0,0.0,0.000,0.000,82,2,5.814,0.000,82,2,5.814,0.000,0,0,0.000,0.000,0,
31.8.2022,11:56:55.685,6939,2356,74.6,3141,4874,39.1,0.0,1.205,1.205,1.205,1.205,1.205,2000.0,2000.0,2000.0,2000.0,2000.0,100.0,533.3,843.0,814.9,828.0,804.2,925.0,843.0,42.1,39.2,46.1,39.2,43.8,46.1,42.1,100.0,52.0,50.5,51.1,49.5,56.8,52.0,20,20,20,20,20,32,56,57,56,55,55,54,53,54,55,55,58,57,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,57,55,58,55,1.367,3.275,2.518,6.038,12.0,15.0,500.0,550.0,4.0,0.0,0.0,0.0,0.0,0.0,141,1.9,43.6,42.3,43.1,40.9,48.1,1.7,0.1,0.1,0.0,6.8,54.4,57.4,56.5,58.7,45.0,800.0,12.00,11,11,11,28,1,49,100.0,No,No,52,32,0.1,0.3,0.3,0.003,0.071,1874,765,0.0,0.0,0.0,0.000,0.000,82,2,2.911,0.209,82,2,2.911,0.209,0,0,0.000,0.000,0,
31.8.2022,11:56:58.225,6931,2364,74.5,6538,1477,81.5,0.0,1.205,1.205,1.205,1.205,1.205,2000.0,2000.0,2000.0,2000.0,2000.0,100.0,533.3,1995.4,1995.4,1995.4,1995.4,1995.4,1995.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,124.8,124.8,124.7,124.8,124.8,124.7,20,20,20,20,20,32,58,58,59,57,57,52,52,51,53,53,58,59,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,58,56,58,54,1.367,4.817,6.086,7.272,12.0,15.0,500.0,550.0,8.2,0.0,0.0,0.0,0.0,0.0,141,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,12.00,11,11,11,28,1,49,100.0,No,No,52,32,0.0,0.3,0.3,0.019,0.171,1874,765,0.0,0.0,0.0,0.000,0.000,82,2,5.496,0.220,82,2,5.496,0.220,0,0,0.000,0.000,0,
31.8.2022,11:57:1.134,6922,2373,74.4,6940,1074,86.5,7.3,1.205,1.205,1.205,1.205,1.205,2000.0,2000.0,2000.0,2000.0,2000.0,100.0,533.3,1995.4,1995.4,1995.4,1995.4,1995.4,1995.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,124.8,124.7,124.8,124.8,124.8,124.8,20,20,20,20,20,32,60,60,60,59,59,51,50,50,51,51,60,60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,61,56,58,56,1.367,6.184,6.104,7.271,12.0,15.0,500.0,550.0,12.2,0.0,0.0,0.0,0.0,0.0,141,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,12.00,11,11,11,28,1,49,100.0,No,No,52,32,1.2,25.6,26.7,0.574,33.842,1875,859,0.0,0.0,0.0,0.000,0.000,82,2,5.103,0.129,82,2,5.103,0.129,0,0,0.000,0.000,0,
31.8.2022,11:57:3.274,6922,2373,74.4,6877,1138,85.7,10.3,1.205,1.205,1.205,1.205,1.205,2000.0,2000.0,2000.0,2000.0,2000.0,100.0,533.3,1995.4,1995.4,1995.4,1995.4,1995.4,1995.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,124.7,124.7,124.8,124.7,124.8,124.7,20,20,20,20,20,32,60,61,61,59,59,50,49,49,51,51,61,61,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,61,56,60,55,1.367,6.538,6.114,7.274,12.0,15.0,500.0,550.0,0.3,0.0,0.0,0.0,0.0,0.0,141,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,12.00,11,11,11,28,1,49,100.0,No,No,52,32,0.0,13.5,13.5,0.007,18.599,1875,897,0.0,0.0,0.0,0.000,0.000,82,2,1.761,0.000,82,2,1.761,0.000,0,0,0.000,0.000,0,
31.8.2022,11:57:5.344,6922,2373,74.4,6877,1138,85.7,10.3,1.205,1.205,1.205,1.205,1.205,2000.0,2000.0,2000.0,2000.0,2000.0,100.0,533.3,1995.4,1995.4,1995.4,1995.4,1995.4,1995.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,124.8,124.7,124.8,124.8,124.8,124.8,20,20,20,20,20,32,61,61,61,61,61,49,49,49,49,49,61,61,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,62,57,60,56,1.367,6.610,6.113,7.272,12.0,15.0,500.0,550.0,0.3,0.0,0.0,0.0,0.0,0.0,141,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,12.00,11,11,11,28,1,49,100.0,No,No,52,32,0.0,0.0,0.0,0.000,0.000,1875,897,0.0,0.0,0.0,0.000,0.000,82,2,2.921,0.000,82,2,2.921,0.000,0,0,0.000,0.000,0,
31.8.2022,11:57:7.405,6924,2370,74.4,6877,1138,85.8,10.3,1.205,1.205,1.205,1.205,1.205,2000.0,2000.0,2000.0,2000.0,2000.0,100.0,533.3,1995.4,1995.4,1995.4,1995.4,1995.4,1995.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,124.8,124.7,124.8,124.8,124.8,124.8,20,20,20,20,20,32,60,60,60,59,61,50,50,50,51,49,60,61,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,60,57,60,55,1.367,6.512,6.111,7.273,12.0,15.0,500.0,550.0,2.4,0.0,0.0,0.0,0.0,0.0,143,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,12.00,11,11,11,28,1,49,100.0,No,No,52,32,0.1,0.0,0.1,0.015,0.001,1875,897,0.0,0.0,0.0,0.000,0.000,82,2,6.997,0.000,82,2,6.997,0.000,0,0,0.000,0.000,0,
31.8.2022,11:57:9.476,6936,2359,74.6,6894,1121,86.0,10.3,1.205,1.205,1.205,1.205,1.205,2000.0,2000.0,2000.0,2000.0,2000.0,100.0,533.3,1995.4,1995.4,1995.4,1995.4,1995.4,1995.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,124.8,124.7,124.8,124.7,124.8,124.8,20,20,20,20,20,32,61,60,61,61,61,49,50,49,49,49,60,61,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,61,57,60,56,1.367,6.402,6.112,7.275,12.0,15.0,500.0,550.0,14.0,0.0,0.0,0.0,0.0,0.0,142,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,12.00,11,11,11,28,1,49,100.0,No,No,52,32,2.0,0.0,2.0,1.145,0.000,1878,897,0.0,0.0,0.0,0.000,0.000,82,2,5.158,0.000,82,2,5.158,0.000,0,0,0.000,0.000,0,
